OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
59,1244,AK6144314351520110530,GILAHINA,2011,5,30,34676.7725193769,21968673.8598315,Wildfire
60,193968,AK6145515569120130531,LIME HILLS,2013,5,31,1119084.79369286,3439724909.7331,Wildfire
61,3166,AK6145515688920130626,HOHOLITNA,2013,6,26,52791.0591386022,55863318.1054874,Wildfire
62,2304,AK6147815785720150620,OSKAWALIK RIVER,2015,6,20,48002.5220332756,40694595.0635169,Wildfire
63,2504,AK6149015915820160714,DOESTOCK CREEK,2016,7,14,47752.5507567112,44285775.5368376,Wildfire
64,46360,AK6149815578120150620,WHY LAKE,2015,6,20,315682.429918879,820767575.318077,Wildfire
65,20058,AK6152115482220050627,SWIFT,2005,6,27,175819.196376782,355695511.075522,Wildfire
66,4253,AK6153316044220020519,KALSKAG,2002,5,19,67267.7120526952,75484507.2794959,Wildfire
67,3573,AK6158415540919940613,GAGARYAH 2,1994,6,13,98405.0121569908,63616113.5558336,Wildfire
68,1841,AK6158915685920090525,BIG LAKE,2009,5,25,57951.6413058316,32785835.4802222,Wildfire
69,1138,AK6159015666120150621,BASKET CREEK #2,2015,6,21,31072.6785402099,20262654.7004651,Wildfire
70,2248,AK6162315989220090617,WINTER TRAIL,2009,6,17,60880.7285393974,40130357.7591668,Wildfire
71,4903,AK6164015534020130730,GAGARYAH 2,2013,7,30,102322.4300307,87651739.7366146,Wildfire
72,8459,AK6122415515419910630,STONEY,1991,6,30,102825.886775633,147197722.674207,Wildfire
73,2896,AK6122715729519910703,KULUKBUK,1991,7,3,56697.7521703619,50397779.8881766,Wildfire
74,11313,AK6123115454019900703,ROCK CREEK,1990,7,3,121546.584025255,196954878.908249,Wildfire
75,24635,AK6124915895920130530,DOESTOCK CREEK,2013,5,30,162341.620457807,429010729.228467,Wildfire
76,56374,AK6126114312320090702,CHAKINA,2009,7,2,320468.506359402,983280093.249026,Wildfire
77,4528,AK6126916028820160714,BOGUS CREEK,2016,7,14,124606.7205918,79082967.3787054,Wildfire
78,1333,AK6127415747820150711,CHUILNUK RIVER,2015,7,11,28016.552821631,23261788.9716017,Wildfire
79,22827,AK6129414325120160716,STEAMBOAT CREEK,2016,7,16,286037.057068867,397942114.013757,Wildfire
80,3689,AK6130215976320080706,DISCOVERY SOUTH,2008,7,6,40846.3222967797,64517388.4753417,Wildland Fire Use
81,23341,AK6130716321820150623,IZAVLKNEK RIVER,2015,6,23,206693.017121822,407349617.178537,Wildfire
82,19915,AK6131716358820020618,AROPUK,2002,6,18,181114.656701926,348586143.141335,Wildfire
83,31490,AK6131915985520150624,OPHIR CREEK,2015,6,24,255165.265033179,550864384.564799,Wildfire
84,70232,AK6133716252320150622,KUKA CREEK 4,2015,6,22,493014.018093039,1226915638.08691,Wildfire
85,6179,AK6135616082720160714,ISRATHORAK CREEK,2016,7,14,92083.5468736882,108426518.584843,Wildfire
86,12243,AK6136115580720150621,KUTOKBUNA LAKE,2015,6,21,144037.624535867,215043539.410853,Wildfire
87,70980,AK6138116038420150601,WHITEFISH LAKE 1,2015,6,1,401433.820859682,1245592926.91275,Wildfire
88,2139,AK6200315760320020718,CROOKED #3,2002,7,18,51815.5019432551,39149939.7576091,Wildfire
89,8479,AK6201316162819840703,KUYUKUTUK,1984,7,3,72131.4308584899,155243989.825615,Wildfire
90,20613,AK6201515923719910629,CROSS,1991,6,29,152282.906016959,377433790.558288,Wildfire
91,20099,AK6205516117920160603,KUYUKUTUK RIVER,2016,6,3,235143.762235616,369155436.872097,Wildfire
92,4119,AK6207115650620020717,MOOSE CREEK,2002,7,17,84941.6366116755,75591045.2943207,Wildfire
93,133070,AK6207315901020050802,SADDLE,2005,8,2,636685.566949316,2443107711.51239,Wildfire
94,7032,AK6209515712719910701,LITTLE,1991,7,1,99005.2967571635,129440263.34763,Wildfire
95,5432,AK6213415839320160714,SMITH CREEK,2016,7,14,126731.965061845,100233451.510985,Wildfire
96,5852,AK6214416168920090613,NAGEETHLUK RIVER,2009,6,13,68940.8433138093,108071897.067481,Wildland Fire Use
97,3837,AK6217015707919910630,GEORGE,1991,6,30,77987.3180143235,70979650.5977177,Wildfire
98,2474,AK6218415837119910630,GLACIER,1991,6,30,81927.6494916978,45775065.2190393,Wildfire
99,27862,AK6219915521220050626,UPPER TATLAWIKSUK,2005,6,26,268661.749253333,516375611.402481,Wildfire
100,45239,AK6221716090020150625,STUYAHOK RIVER,2015,6,25,322740.152938898,841779756.043657,Wildfire
101,3453,AK6222115659020150622,LITTLE SOUTH FORK,2015,6,22,52005.0886159724,64082001.6283336,Wildfire
102,59754,AK6222215599620050703,WASKY,2005,7,3,575931.453989574,1109863039.05963,Wildfire
103,56332,AK6222916164120060531,NAGEETHLUK RIVER,2006,5,31,249233.692373818,1046122730.31559,Wildfire
104,5686,AK6225015525219900702,JOINED,1990,7,2,114416.279783332,105729089.791266,Wildfire
105,30326,AK6227615474820090705,BIG RIVER,2009,7,5,386808.644746929,564925935.64006,Wildfire
106,15424,AK6228315871720150620,REINDEER RIVER,2015,6,20,192799.941807409,287259267.845668,Wildfire
107,2982,AK6164015926820150623,MISSION CREEK,2015,6,23,66947.8378953419,53263537.0094385,Wildfire
108,3892,AK6165315758520090525,OSKAWALIK,2009,5,25,85407.9372479842,69615032.7741004,Wildfire
109,57411,AK6165415966120150623,NORTH ANIAK,2015,6,23,295094.501369562,1026486341.8188,Wildfire
110,1217,AK6166715940620160714,OWHAT RIVER 2,2016,7,14,24344.7279672967,21817929.8743978,Wildfire
111,82041,AK6169316092520050802,TALBIKSOK,2005,8,2,434902.789837282,1467113105.42084,Wildfire
112,19547,AK6169715522120090703,GAGARYAH 2,2009,7,3,272800.11050125,350516647.713055,Wildfire
113,4579,AK6173215553319940614,GAGARYAH 3,1994,6,14,60123.9206783066,82311686.4678035,Wildfire
114,1151,AK6175916306020160715,PITMIK RIVER,2016,7,15,30955.8035104267,20711678.6923786,Wildfire
115,1046,AK6177615063720020716,THURSDAY CREEK,2002,7,16,32314.7190201335,18856134.4698748,Wildfire
116,40922,AK6180015953320150624,OWHAT RIVER,2015,6,24,279657.208398703,740519202.380809,Wildfire
117,51242,AK6180515536719900702,ROUND,1990,7,2,326802.58284217,924522816.309731,Wildfire
118,5767,AK6181415925719910629,MOLY,1991,6,29,96621.2263936409,104223396.527158,Wildfire
119,6538,AK6184515008520150614,SOCKEYE,2015,6,14,132333.244206072,118060986.755688,Wildfire
120,16711,AK6185815828420150621,VILLAGE CREEK,2015,6,21,231003.123648908,301718926.541461,Wildfire
121,2781,AK6188815835220060706,NORTH HORN,2006,7,6,48164.3356330402,50493390.1330077,Wildfire
122,10723,AK6189215821719900701,CROOKED CR,1990,7,1,87623.4434849829,194776099.569692,Wildfire
123,8547,AK6190315790219890702,CROOKED CREEK,1989,7,2,122667.485098016,155361069.809351,Wildfire
124,11698,AK6194115897320150621,QUINN CREEK,2015,6,21,215396.235148769,213378405.212346,Wildfire
125,6959,AK6194415021020070620,SU RIVER,2007,6,20,141436.761274579,126835866.633062,Wildfire
126,4174,AK6195115929819870610,LANDMARK,1987,6,10,82348.09436945,76072560.7207919,Wildfire
127,28531,AK6196215537920090702,CHEENEETNUK,2009,7,2,338876.16690344,520142962.316345,Wildfire
128,3595,AK6197815755020160714,GEORGE RIVER,2016,7,14,60645.8715595244,65609882.2135084,Wildfire
129,1139,AK6198615735920160714,SOUTH FORK GEORGE RIVER,2016,7,14,31614.2278976151,20820562.7069865,Wildfire
130,62983,AK6199915758620050731,GEORGE,2005,7,31,337375.410435323,1155618750.14286,Wildfire
131,38180,AK6244215459120100529,LONE MOUNTAIN,2010,5,29,380366.22532549,720263461.621189,Prescribed Fire
132,7382,AK6244915566819850730,SELATNA,1985,7,30,126121.975645301,139104383.446839,Wildfire
133,135665,AK6245215694220130612,UNNAMED,2013,6,12,734088.799256265,2556629273.87831,Unknown
134,6421,AK6245915431819860703,KLUCHAY,1986,7,3,89309.2134550932,121069061.49925,Wildfire
135,47612,AK6246315841120150623,LOWER REINDEER PEAK,2015,6,23,282740.504360496,898471134.042301,Wildfire
136,37942,AK6246414163320150609,CHISANA RIVER  2,2015,6,9,291740.311287842,716484933.448522,Wildfire
137,13301,AK6247715658320050721,BIG WALDREN,2005,7,21,265222.229786059,250857938.466194,Wildfire
138,1135,AK6248015455119860704,MIDDLE FORK,1986,7,4,29002.2895476313,21428554.1436197,Wildfire
139,4741,AK6248116092020050812,STUYAHOK,2005,8,12,117539.302993979,89433213.5103144,Wildfire
140,29138,AK6249215486220050615,LONE MOUNTAIN,2005,6,15,206089.962881508,550638904.510819,Wildfire
141,44398,AK6251014141420130531,CHISANA RIVER,2013,5,31,277824.445733927,835475957.528512,Wildfire
142,1583,AK6251614470219950612,BILLY LAKE,1995,6,12,45444.0511271216,29968859.9627974,Wildfire
143,4336,AK6252015747620150624,LITTLE MONTANA CREEK,2015,6,24,125251.950236945,82097316.8353001,Wildfire
144,2867,AK6253214472720160715,YOKNEDA LAKE,2016,7,15,76126.0756114148,54279650.4929365,Wildfire
145,15288,AK6254015693720050802,WOLF,2005,8,2,235287.585770235,290256921.038656,Wildfire
146,7749,AK6254216044119910709,132687,1991,7,9,84211.776007787,146936227.78686,Wildfire
147,8846,AK6254814227319940615,LICK CREEK,1994,6,15,150785.493345384,167790276.637761,Wildfire
148,5489,AK6256215664519850720,SUGARLOAF,1985,7,20,133204.521953168,104221981.943572,Wildfire
149,3229,AK6259015413520140618,SHEEP CREEK,2014,6,18,59168.2908821643,61396737.2652525,Wildfire
150,86915,AK6259215372820100517,TURQUOISE LAKE,2010,5,17,572034.894187103,1643588552.06061,Wildfire
151,60898,AK6259815802820150620,IDITAROD RIVER,2015,6,20,403303.860375901,1155800904.05938,Wildfire
152,19388,AK6260115516920050720,BLACK WATER,2005,7,20,196345.207731214,368674387.104037,Wildfire
153,4780,AK6260315742119850801,CAMELBACK,1985,8,1,69228.5817922212,90997169.6818672,Wildfire
154,41929,AK6262114163820030716,BLACK HILL,2003,7,16,382556.427740007,799205264.279055,Wildland Fire Use
155,33691,AK6262415759820150620,HICKEY CREEK,2015,6,20,270443.662898946,641513231.962347,Wildfire
156,18279,AK6263515818120090612,FRANKLIN CREEK,2009,6,12,177722.368592031,348737724.030412,Wildfire
157,67318,AK6265115433220020717,WINDY,2002,7,17,233847.906273678,1285075462.1141,Wildfire
158,23629,AK6265515350920090526,DILLINGER,2009,5,26,308101.962875988,451452826.978742,Wildfire
159,6632,AK6266815537820090524,KATLITNA,2009,5,24,104582.849621799,126822036.633474,Wildfire
160,14334,AK6267716299719910609,132242,1991,6,9,120879.970192344,274264198.920877,Wildfire
161,175486,AK6268315550920020522,VINASALE,2002,5,22,782925.916905075,3380260509.98301,Wildfire
162,6230,AK6269814518520130627,EXCELSIOR,2013,6,27,96366.379939747,119404709.296315,Wildfire
163,34657,AK6269814681720040809,ALPHABET HILLS,2004,8,9,471205.625123343,663344785.892774,Wildfire
164,1148,AK6274014167020090527,TETLIN REFUGE 1,2009,5,27,45658.0701146575,22063260.9399837,Wildland Fire Use
165,51550,AK6276015852920050802,YETNA,2005,8,2,463183.092698493,987552360.551617,Wildfire
166,156189,AK6277215826720020718,YETNA RIVER,2002,7,18,525409.361849181,3007766952.31931,Wildfire
167,10827,AK6277415728220150622,MAYBE CREEK,2015,6,22,118535.10083708,208416362.390187,Wildfire
168,40132,AK6277815740120050802,DISHNA,2005,8,2,307939.466697963,770827943.126923,Wildfire
169,45200,AK6278715527219940613,KATLITNA,1994,6,13,245979.362954328,871268961.112657,Wildfire
170,2657,AK6280314184019860614,613009,1986,6,14,73453.445629108,51263077.6195402,Wildfire
171,44650,AK6283416064320050730,GRAYLING CREEK,2005,7,30,274259.501023939,861574342.897354,Wildfire
172,1525,AK6229614682320130731,TABERT LAKE,2013,7,31,47751.4971904655,28479155.5453378,Wildfire
173,8527,AK6229615889420160714,REINDEER RIVER,2016,7,14,84055.085487396,159139819.583857,Wildfire
174,17514,AK6230116184820090613,ALLMAN LAKE,2009,6,13,126435.624319089,326777065.200766,Wildland Fire Use
175,225783,AK6232015915020020717,REINDEER,2002,7,17,674912.753145383,4218111422.53952,Wildfire
176,28882,AK6234115827319890702,SWINGING DOME,1989,7,2,187796.237234995,540338340.15837,Wildfire
177,86445,AK6236115628419880712,804028,1988,7,12,388750.301903565,1616791176.10118,Wildfire
178,11803,AK6237615663720020619,BIG WALDREN,2002,6,19,137941.201365787,221323439.813023,Wildfire
179,15567,AK6239116102520150625,HAWK RIVER,2015,6,25,163711.175239747,291708877.137179,Wildfire
180,5409,AK6243715655820020717,WALDREN FORK,2002,7,17,110601.14572734,101831295.509409,Wildfire
181,1364,AK6243715853720100528,REINDEER RIVER,2010,5,28,30419.3133209561,25690803.9620376,Prescribed Fire
182,9522,AK6283615543219850803,KATLITNA,1985,8,3,95674.8204642676,184159664.700308,Wildfire
183,33077,AK6284115342020150626,DEEPBANK CREEK,2015,6,26,206116.527148611,641694101.812858,Wildfire
184,95035,AK6289415864020040708,BIG YETNA,2004,7,8,449010.541654414,1845322920.06661,Wildfire
185,3812,AK6292716050820020720,GOBLET CREEK,2002,7,20,50830.1853569599,74191140.6815567,Wildfire
186,5106,AK6293614101320090609,SWAMP CREEK,2009,6,9,120994.404335495,99536705.3313269,Wildfire
187,7295,AK6293715788819850728,531021,1985,7,28,99940.2832685131,142064627.815695,Wildfire
188,12003,AK6294916290120001227,PASTOLIAK RIVER,2000,12,27,127970.364486977,233923995.879746,Wildfire
189,27671,AK6295814188120150621,LONG LAKE,2015,6,21,314359.183329897,536666123.46082,Wildfire
190,7656,AK6296815936720150603,INNOKO RIVER,2015,6,3,127048.098191266,149659328.728634,Wildfire
191,2115,AK6297915773420070703,HORSEFLY,2007,7,3,46087.8216494883,41308766.8016425,Wildland Fire Use
192,125751,AK6298214136220040617,TAYLOR HIGHWAY COMPLEX (GARDINER CREEK),2004,6,17,473065.962703148,2456366491.39772,Wildfire
193,24199,AK6303315543920090524,BROKEN SNOWSHOE,2009,5,24,274342.871673404,474323179.000855,Wildfire
194,14058,AK6303316298320150621,APOON,2015,6,21,137350.249426681,275502253.043755,Wildfire
195,3712,AK6306115303320150706,DENNIS,2015,7,6,70264.3583423089,72992260.2609162,Wildfire
196,103443,AK6310915773020050801,CHICKEN MOUNTAIN,2005,8,1,454364.633230807,2038306263.13671,Wildfire
197,3047,AK6311816279219910608,132239,1991,6,8,50233.4346124522,60073587.8918019,Wildfire
198,26286,AK6312215733120110527,DISHMOUNTAIN,2011,5,27,243655.924287249,518417036.128417,Wildfire
199,3245,AK6312615668620150626,BEAVER CREEK,2015,6,26,72681.1036131295,63984461.1793781,Wildfire
200,2066,AK6315715593220150625,JOHN REEK CREEK 3,2015,6,25,56808.931246745,40842456.1403866,Wildfire
201,28824,AK6315814142519980702,GARDINER CREEK,1998,7,2,240183.958555206,569860652.781852,Wildfire
202,3044,AK6316215681120150624,AMERICAN CREEK,2015,6,24,62026.2371863148,60158795.1073423,Wildfire
203,16288,AK6316815419220150624,NORTH FORK FLATS,2015,6,24,174738.546652216,322185444.451155,Wildfire
204,1947,AK6317414196120130531,BITTER CREEK,2013,5,31,67997.7202328269,38486153.7243838,Wildfire
205,1874,AK6318714295920150621,TETLIN HILLS,2015,6,21,48748.8952025103,37094653.7328574,Wildfire
206,30221,AK6318715437720020717,NORTH FORK,2002,7,17,231829.321246526,598380207.25687,Wildfire
207,8818,AK6321614149219940807,GARDNER CR,1994,8,7,117779.683812113,175027035.050155,Wildfire
208,1028,AK6321915689520040715,HURST,2004,7,15,34694.1443132998,20408432.1640215,Wildfire
209,5570,AK6323314295320030527,TOK RIVER,2003,5,27,111852.676797156,110701420.779115,Wildfire
210,18142,AK6323414099420070619,LADUE,2007,6,19,207595.840671433,360548950.032147,Wildfire
211,1955,AK6323815384020040722,EAST FORK HILLS,2004,7,22,52744.7219005705,38865054.6149322,Wildfire
212,1501,AK6323815415319910630,BERRY,1991,6,30,39897.5438326347,29841025.7971911,Wildfire
213,95688,AK6324514276619900701,TOK RIVER,1990,7,1,351297.448395591,1903115527.21423,Wildfire
214,10406,AK6324515607320020717,SOUTH FORK,2002,7,17,115615.305687124,206963619.514851,Wildfire
215,7773,AK6325016133320150621,GOLSOVIA 3,2015,6,21,87078.8166332212,154404577.197649,Wildfire
216,16349,AK6325315658720050808,CARIBOU,2005,8,8,269940.383206032,325352671.399884,Wildfire
217,25759,AK6325615408420150621,SODA CREEK,2015,6,21,256683.379080183,512439487.504306,Wildfire
218,7869,AK6328215544320040719,WEST FORK,2004,7,19,107242.306272927,156903450.12683,Wildfire
219,3564,AK6328315440020150624,SCOW HARRY # 2,2015,6,24,97719.568599537,71111996.3224603,Wildfire
220,18531,AK6328614244520130625,TETLIN JCT RIDGE,2013,6,25,239147.069572008,369981234.146443,Wildfire
221,1692,AK6328715436819850803,HARRY,1985,8,3,41231.4242616316,33742270.9714571,Wildfire
222,21953,AK6329114161920090601,LADUE RIVER,2009,6,1,280175.360005394,437918842.987168,Wildfire
223,4218,AK6330115410320100528,NORTH FORK,2010,5,28,85979.8296243511,84164121.712552,Wildfire
224,4687,AK6339815333619860627,BEAR ISLAND,1986,6,27,86326.6615441081,94203283.7336544,Wildfire
225,7518,AK6340514152420130625,LADUE FORK,2013,6,25,113640.133574921,150876431.430479,Wildfire
226,11457,AK6341814254419900706,PORCUPINE,1990,7,6,85588.6617834922,230625658.224837,Wildfire
227,123989,AK6341815761120150620,BLAZO,2015,6,20,853167.302377104,2505340347.15956,Wildfire
228,11049,AK6342014275119860615,PORCUPINE,1986,6,15,157389.92177651,222439656.382336,Wildfire
229,20203,AK6342414352720100526,EAGLE TRAIL,2010,5,26,175329.628744982,406132200.398261,Wildfire
230,27819,AK6342814369920130625,MOON LAKE,2013,6,25,200187.89334306,561273312.807432,Wildfire
231,8972,AK6342915456920100527,MYSTERY,2010,5,27,105910.251541489,180729747.58439,Prescribed Fire
232,8955,AK6343315367220150624,PONTAG CREEK,2015,6,24,116460.834281217,180118795.289359,Wildfire
233,68914,AK6343415535920050524,WASHINGTON CR.,2005,5,24,683028.588181627,1385602640.83245,Wildfire
234,5926,AK6344115780520130627,HAMMER CREEK,2013,6,27,53387.1319053423,119543560.663939,Wildfire
235,1354,AK6344414415620150620,ROBINSON FORK,2015,6,20,39065.7229589496,27280586.2353326,Wildfire
236,2024,AK6344614202319950512,DENNISON FORK,1995,5,12,63273.010426617,40800991.8401199,Wildfire
237,8495,AK6347415357320100708,NO NAME CREEK,2010,7,8,135751.445725621,171668647.632565,Wildfire
238,12884,AK6347715210120130706,CASTLE ROCK,2013,7,6,217590.620696176,259924475.096312,Wildfire
239,114043,AK6347715235920050614,HIGHPOWER CREEK,2005,6,14,790149.175614859,2307041976.04273,Wildland Fire Use
240,3516,AK6347915248619860704,MHM S 28,1986,7,4,76870.1046941326,71073762.247673,Wildfire
241,2239,AK6347915461819860704,COTTONWOOD,1986,7,4,40928.4079061592,45259152.71754,Wildfire
242,4566,AK6348715366519910629,FORK,1991,6,29,70737.6731645773,92419382.6684006,Wildfire
243,2940,AK6349015334420150712,BEAR ISLAND LAKE,2015,7,12,88512.4079272882,59535120.6600994,Wildfire
244,2631,AK6349315164319860704,MHM SE 27,1986,7,4,54116.2895778879,53229895.8850805,Wildfire
245,267726,AK6349714262320040626,TAYLOR HIGHWAY COMPLEX (PORCUPINE),2004,6,26,753556.114025505,5418913570.5494,Wildfire
246,1533,AK6349815219420090525,LIVE TRAP LAKE,2009,5,25,54544.6438103805,31024859.985154,Wildland Fire Use
247,3278,AK6350415786520050615,HAMMER CREEK,2005,6,15,106134.773567932,66383968.8705048,Wildfire
248,1547,AK6351115433019860704,VON FRANK,1986,7,4,37201.2837085763,31339548.083698,Wildfire
249,13230,AK6351515385820020819,LOST TWENTY,2002,8,19,195011.86608657,268116643.943044,Wildfire
250,3575,AK6352415228020050614,HERRON RIVER,2005,6,14,53791.3976774186,72490474.1493629,Wildland Fire Use
251,2057,AK6354414158520090526,EAST FORK DENNISON,2009,5,26,60309.2290493697,41775846.6881443,Wildfire
252,3804,AK6354415567219860704,SUSU,1986,7,4,61176.7191447508,77244327.8220896,Wildfire
253,1306,AK6330715560720150623,AGATE FORK SUSULATNA RIVER,2015,6,23,46117.036867616,26095604.5687013,Wildfire
254,6468,AK6331815408019910630,SODA,1991,6,30,85423.6783371287,129304554.720448,Wildfire
255,31133,AK6333316155020150621,SISTERS,2015,6,21,235282.53272641,622028307.741636,Wildfire
256,2598,AK6333316183320140812,THE SISTERS,2014,8,12,34507.9895692975,52149314.9153383,Wildfire
257,3443,AK6334015588620160714,FOLGER CREEK,2016,7,14,75218.5830343356,68940774.2305692,Wildfire
258,4067,AK6334915125520150622,IRON,2015,6,22,80735.3029003119,81531332.1296347,Wildfire
259,159040,AK6335015356320090523,TONCLONUKNA CREEK,2009,5,23,1063197.6994182,3171993272.10043,Wildfire
260,5095,AK6335315749919910702,OLD,1991,7,2,92130.7388005431,102098855.436002,Wildfire
261,6341,AK6335815839219940609,GAL SW 94,1994,6,9,113697.922769125,127107181.76427,Wildfire
262,21319,AK6337815356319980630,SLOW FORK,1998,6,30,211134.281781903,427928238.739607,Wildfire
263,4876,AK6338715748520070610,HAMMER CREEK,2007,6,10,108548.809338399,97918437.4895951,Wildland Fire Use
